State,Value_2017,Value_2018,Value_2019,Value_2020,2017 % Share,2018 % Share,2019 % Share,2020 % Share
Alabama,21798,21417,20800,17131,1.4,1.3,1.3,1.2
Alaska,4941,4834,4990,4612,0.3,0.3,0.3,0.3
Arizona,20918,22516,24669,19718,1.4,1.4,1.5,1.4
Arkansas,6234,6449,6232,5197,0.4,0.4,0.4,0.4
California,171920,178163,174026,156112,11.1,10.7,10.6,10.9
Colorado,8054,8331,8097,8283,0.5,0.5,0.5,0.6
Connecticut,14792,17404,16243,13802,1.0,1.0,1.0,1.0
Delaware,4565,4704,4407,3919,0.3,0.3,0.3,0.3
Columbia,1483,2724,3690,2776,0.1,0.2,0.2,0.2
Florida,54897,57246,55995,45807,3.5,3.4,3.4,3.2
Georgia,37222,40617,41252,38784,2.4,2.4,2.5,2.7
Hawaii,952,659,454,320,0.1,0.0,0.0,0.0
Idaho,3863,4028,3434,3403,0.2,0.2,0.2,0.2
Illinois,65288,65471,59724,53512,4.2,3.9,3.6,3.7
Indiana,37747,39321,39283,35283,2.4,2.4,2.4,2.5
Iowa,13422,14370,13221,12635,0.9,0.9,0.8,0.9
Kansas,11244,11582,11659,10399,0.7,0.7,0.7,0.7
Kentucky,30919,31808,32991,24750,2.0,1.9,2.0,1.7
Louisiana,56865,67197,63700,59622,3.7,4.0,3.9,4.2
Maine,2712,2836,2724,2328,0.2,0.2,0.2,0.2
Maryland,9317,12104,13055,12672,0.6,0.7,0.8,0.9
Massachusetts,27561,27146,26130,24893,1.8,1.6,1.6,1.7
Michigan,59921,58011,55802,44001,3.9,3.5,3.4,3.1
Minnesota,20692,22681,22188,20077,1.3,1.4,1.4,1.4
Mississippi,10985,11588,11859,10272,0.7,0.7,0.7,0.7
Missouri,14289,14529,13406,12770,0.9,0.9,0.8,0.9
Montana,1616,1666,1685,1433,0.1,0.1,0.1,0.1
Nebraska,7210,7947,7453,6984,0.5,0.5,0.5,0.5
Nevada,12162,11093,8976,10348,0.8,0.7,0.5,0.7
New Hampshire,5148,5306,5829,5453,0.3,0.3,0.4,0.4
New Jersey,34258,35301,35675,38021,2.2,2.1,2.2,2.7
New Mexico,3696,3899,4679,3691,0.2,0.2,0.3,0.3
New York,78190,84728,75653,61888,5.1,5.1,4.6,4.3
North Carolina,32620,32765,34336,28439,2.1,2.0,2.1,2.0
North Dakota,6148,7800,6977,5189,0.4,0.5,0.4,0.4
Ohio,50071,54393,53229,45039,3.2,3.3,3.2,3.1
Oklahoma,5363,6112,6143,5376,0.3,0.4,0.4,0.4
Oregon,21894,22332,23599,24977,1.4,1.3,1.4,1.7
Pennsylvania,38640,41158,42722,37455,2.5,2.5,2.6,2.6
Rhode Island,2391,2405,2675,2402,0.2,0.1,0.2,0.2
South Carolina,32202,34627,41462,30295,2.1,2.1,2.5,2.1
South Dakota,1356,1430,1357,1377,0.1,0.1,0.1,0.1
Tennessee,33233,32717,31076,28134,2.1,2.0,1.9,2.0
Texas,265068,315835,328864,279294,17.1,19.0,20.0,19.5
Utah,11583,14390,17339,17713,0.7,0.9,1.1,1.2
Vermont,2776,2920,3021,2399,0.2,0.2,0.2,0.2
Virginia,16508,18341,17843,16431,1.1,1.1,1.1,1.1
Washington,76351,77871,60310,41281,4.9,4.7,3.7,2.9
West Virginia,7110,8223,5937,4568,0.5,0.5,0.4,0.3
Wisconsin,22305,22719,21668,20504,1.4,1.4,1.3,1.4
Wyoming,1196,1357,1367,1165,0.1,0.1,0.1,0.1
